ID,Yield,Tensile,Elongation,C,Mn,S,P,Ni,Cu,Nb,Vintage,Grade_Name
947,39826.53228,67262.26735,35.87686988,0.116375082,0.423370732,0.01352993,0.015054784,0.023661826,0.037710109,0.002272911,1971.277048,Grade B
555,45600,73000,28.8,0.192,0.896,0.019,0.027,0.01,0.03,0.001,1929,Grade B
787,42631.53082,77002.04071,34.06658316,0.222773983,0.327161028,0.0178685,0.000932597,0.065612434,0.142884519,0.001230666,1953.863607,Grade B
2196,73400,86600,24.2,0.061,1.007,0.01,0.009,0.009,0.013,0.038,1967,X52
2705,77166.65804,84708.7569,22.87849084,0.217822599,0.772007152,0.013778464,0.024277942,0.119249427,0.008414649,0.007478383,1945.692235,X56
3972,80430.8951,97869.98083,30.438819,0.066601015,1.358212987,0.001407207,0.009627407,0.07145188,0.229926605,0.084127087,2012.199765,X70
1678,57942.85267,75137.79144,23.40326313,0.251247269,0.610543392,0.018147601,0.035446557,0.070953815,0.285729218,0.000162323,1965,X46
2895,71000,82000,26.8,0.09,1.15,0.01,0.013,0.011,0.011,0.04,1975,X60
3282,63567.85783,83051.41587,32.90245729,0.171953555,0.934329948,0.010517809,0.006922431,0.23832699,0.10173064,0.034828527,1981.033647,X60
2284,65746.46353,77034.07676,22.478153,0.256894936,0.882296712,0.021025087,0.021090311,0.008308964,0.139285317,0.004442227,1950.174994,X52
1642,58528.37583,71948.59672,25.89719787,0.204593817,0.863665078,0.018372823,0.044511083,0.044384304,0.156621982,0.002025431,1954,X46
358,33632.8996,48003.44574,29.24833249,0.112661606,0.276959069,0.028901519,0.007223933,0.009840593,0.124467845,0.000907796,1943.355007,Grade A
698,55050.30589,73966.27681,32.53326279,0.132034311,0.466142168,0.025752521,0.020717409,0.043447729,0.066798579,0.000932017,1969,Grade B
3875,80822.16167,91537.79889,33.6354607,0.050862844,1.299143075,0.005290109,0.013833937,0.084550452,0.224032284,0.05539014,2009.85761,X70
1892,56788.60022,70229.92861,29.14515752,0.272435834,0.65026017,0.012307503,0.057656079,0.028096276,0.347677667,0.002402272,1953.144353,X46
908,38662.72203,70600.73564,41.50598126,0.232816258,0.384604946,0.020756733,0.012255724,0.098774541,0.054259543,0.000906068,1946.369174,Grade B
2155,70500,81000,20.9,0.226,0.976,0.015,0.017,0.052,0.1,0.001,1960,X52
3585,74781.77717,93161.85972,24.50676731,0.023958573,1.483889128,0.013592539,0.01247708,0.019149648,0.092382595,0.023279343,1981.192545,X65
1036,60000,73500,30.5,0.219,0.88,0.023,0.008,0.01,0.011,0.002,1957,X42
1032,54000,65000,32.7,0.225,0.8,0.018,0.006,0.013,0.017,0.001,1957,X42
3363,74549.66103,88454.71724,25.33987886,0.063331116,0.800269575,0.001579568,0.014396893,0.023071877,0.082939005,0.041967649,1972.884652,X65
2105,51000,73500,26.8,0.205,0.752,0.024,0.006,0.026,0.11,0.001,1968,X52
2228,58436,78915,33.3,0.239,0.996,0.023,0.012,0.025,0.045,0.001,1954,X52
136,33311.48776,45760.29774,35.71893115,0.179125952,0.254351533,0.023452708,0.012527986,0.028410131,0.108343589,0.001301982,1942.58309,Grade A
75,34385.8618,54856.87837,49.69959824,0.04639241,0.695389409,0.023628867,0.021776306,0.01633507,0.083931489,0.000358734,1950,Grade A
2089,68000,88500,31.5,0.236,1.22,0.021,0.019,0.041,0.03,0.029,1968,X52
7,35446.12759,49620.50877,30.40473264,0.013568611,0.393180627,0.017473884,0.000243004,0.037259215,0.066120982,0.001555513,1943,Grade A
1116,51000,79000,33.6,0.261,0.838,0.026,0.017,0.016,0.016,0.001,1949,X42
3288,73382.53255,89177.60464,30.73035607,0.179982945,0.98152335,0.020556648,0.007065356,0.159551343,0.053973308,0.010159802,1995.23249,X60
374,36839.10026,49497.94325,54.50569235,0.086886767,0.723135698,0.027222766,0.017410335,0.031607104,0.074124891,0.001096556,1950.898961,Grade A
4219,79451.7451,107688.4244,34.46413186,0.022259227,0.987164821,0.004484476,0.015472658,0.014599754,0.344773222,0.060365596,2014.560499,X70
2547,77140.83305,107861.6485,21.56256494,0.214199968,0.017434962,0.001208601,2.92E-05,0.112353978,0.053158121,0.027519747,1954.892824,X56
3591,69536.59827,93320.68798,27.36708124,0.119623814,1.262882958,0.008232347,0.011982898,0.032442981,0.048828611,0.033253069,1967.864123,X65
1056,59000,69000,36.4,0.176,0.888,0.017,0.005,0.017,0.02,0.001,1960,X42
2487,77159.87656,96182.77086,24.84120255,0.239334238,1.150118505,0.017400222,0.014165512,0.071877904,0.053667802,0.03281753,1952.332911,X56
477,32728.97914,46414.50878,27.35046438,0.085657517,0.38170476,0.023408648,0.003689431,0.012995539,0.050834084,0.001004037,1946.318898,Grade A
3144,70550.51948,104430.4717,26.88193087,0.165605896,1.135374257,0.022021941,0.010174708,0.174875339,0.153066717,0.026324815,1970.128977,X60
3631,72125.38616,88661.3655,26.59937196,0.196058787,0.990446004,0.002912435,0.014840536,0.020536889,0.041703141,0.065990859,1974.291513,X65
2990,62191.75607,82252.48999,25.6062081,0.204553432,1.181733958,0.015635931,0.006266068,0.434090687,0.091525387,0.008876921,1988,X60
1272,57608.55358,74196.8739,29.99729504,0.226601034,0.661214806,0.013172503,0.013339637,0.077046151,0.056621363,0.001392821,1955,X42
1497,58500,78500,30.8,0.249,0.785,0.018,0.028,0.054,0.127,0.001,1963,X46
3771,81500,93000,23.9,0.048,1.59,0.002,0.014,0.013,0.023,0.076,2006,X70
3902,81063.91521,93380.13345,30.79396127,0.051972337,1.563774107,0.000574158,0.012894518,0.12906712,0.120655255,0.076702294,2008.559407,X70
3186,65181.61736,90542.89168,31.66564637,0.178694391,1.087074978,0.013547381,0.01146512,0.237735157,0.135098936,0.016450477,1980.463164,X60
3415,70120.76462,88396.90028,31.33939433,0.086053868,1.116426803,0.006737118,0.005074722,0.008859891,0.1021875,0.054752911,1972.290243,X65
307,36436.76282,47888.66007,33.21266685,0.106904888,0.434911833,0.027438664,0.007724332,0.009080078,0.060491464,0.001226022,1949.342421,Grade A
2,41700,52500,44,0.064,0.38,0.021,0.009,0.04,0.124,0.001,1948,Grade A
1476,52000,75000,31,0.246,0.773,0.013,0.035,0.032,0.035,0.002,1949,X46
221,37789.43866,42163.39893,35.10875867,0.09159117,0.314440756,0.01939239,0.019176355,0.017226858,0.012911118,0.001660125,1945.046854,Grade A
930,50463.08074,70693.96383,25.49232931,0.204918909,0.282590269,0.012521152,0.04763599,0.059071626,0.021006057,0.000819754,1958.335274,Grade B
2336,65809.0061,94310.18795,29.63205664,0.237676526,1.221612546,0.011764846,0.010365424,0.009503353,0.113924523,0.003084699,1951.455128,X52
909,42640.89742,73099.94847,30.77640407,0.199945525,0.799110585,0.022904725,0.027878999,0.003077879,0.073868745,0.003205354,1954.030527,Grade B
3155,72277.33114,80795.39753,22.6111732,0.234364934,0.754461726,0.016799238,0.008291829,0.138624928,0.163012772,0.026756247,1976.435113,X60
734,46340.33867,62034.5588,32.40545729,0.158792958,0.474616765,0.028290458,0.043571393,0.024705668,0.055388589,0.001193236,1941,Grade B
3861,82100.97891,93670.89038,32.30024355,0.044444834,1.053473375,0.003754789,0.011888123,0.097367327,0.153868744,0.101448557,2017.479874,X70
3851,78316.69964,87663.87096,29.35351879,0.05140583,1.508945712,0.003500328,0.011125434,0.047203146,0.163456751,0.050702473,2010.076701,X70
56,31184.82064,55075.01863,26.45173594,0.01907569,0.413767933,0.02160443,0.01225167,0.015780454,0.110446513,5.13E-05,1939,Grade A
3695,71438.46056,84754.97219,27.89385643,0.113710444,1.542522076,0.000915977,0.004909731,0.03193502,0.038125693,0.073551941,2005.085966,X65
617,39500,67500,37.3,0.239,0.56,0.015,0.009,0.005,0.002,0.001,1983,Grade B
2617,77308.89082,95838.86706,21.15544965,0.172921229,0.415685168,0.028345037,0.007177605,0.130720198,0.060555312,0.021161524,1955.450313,X56
3256,69302.5581,99199.52206,27.95426341,0.208643669,1.102920168,0.016509391,0.004867367,0.153413105,0.041995578,0.031423217,1989.038788,X60
878,45896.39499,74398.69087,37.21829125,0.138395589,0.158539322,0.019586075,0.002692521,0.024094487,0.021993378,0.00269471,1948.721959,Grade B
462,35218.63613,56589.88406,26.8997344,0.058372757,0.310111257,0.019031884,0.010887849,0.039749251,0.036155141,0.001576563,1943.119571,Grade A
2522,77083.08383,100735.4544,26.82094298,0.222964908,1.601405785,0.013333942,0.013268623,0.030135488,0.155581354,0.020901313,1953.56781,X56
4022,81731.13471,96097.211,26.26575236,0.058148132,1.472052336,0.003051782,0.015533424,0.031808485,0.131557196,0.067549679,2006.244997,X70
3348,70582.22829,84847.47143,26.72304508,0.218912419,0.873319922,0.006142434,0.006790171,0.052080692,0.019774978,0.031790943,1989.847086,X65
3202,69599.94404,90711.57781,33.76030352,0.206728965,1.164210645,0.009135163,0.009319139,0.18101699,0.061409223,0.000761106,1987.962929,X60
637,41435,68318,34.8,0.258,0.535,0.025,0.005,0.007,0.013,0.001,1955,Grade B
4035,81613.39955,98429.28918,31.85386071,0.042444088,1.448837477,0.001936228,0.012467309,0.111076331,0.272019522,0.076931951,2006.605157,X70
751,42041.70358,67127.95926,27.22695965,0.188235601,0.80377653,0.004228123,0.001459451,0.016291295,0.018456407,0.002026986,1935.727387,Grade B
2724,77301.52816,97605.03516,24.43137358,0.188781739,0.389660231,0.001207561,0.012200289,0.112899612,0.228190331,0.024253685,1952.633221,X56
2819,76610.75893,106207.5742,26.69493121,0.241550424,0.842065973,0.022739608,0.008138407,0.055618914,0.102282662,0.003542445,1950.791088,X56
619,46500,60706,35.2,0.157,0.585,0.028,0.006,0.049,0.093,0.001,1946,Grade B
3764,82500,101000,30.9,0.065,1.57,0.002,0.01,0.013,0.046,0.066,2012,X70
1629,51831.93584,76862.11062,22.02822356,0.222404006,0.815029599,0.013794128,0.077093312,0.017523442,0.322536825,0.001140251,1972,X46
2343,67916.45387,73103.29796,32.24401101,0.178204411,1.25240074,0.017667509,0.018685107,0.063816594,0.057878918,0.019646836,1951.221637,X52
3899,82814.98185,93350.66609,34.58972219,0.05709138,1.354931395,0.003562266,0.012534085,0.02248562,0.227472841,0.058634752,2009.541256,X70
3556,70576.46142,81505.1299,19.7318677,0.107955252,0.989296345,0.022085321,0.010288085,0.003043422,0.00094178,0.061222915,2004.961175,X65
2130,67000,80500,27.7,0.251,0.967,0.014,0.01,0.014,0.024,0.001,1965,X52
4144,81100.53426,91717.72379,27.335422,0.03702024,1.241264702,0.003231125,0.012622082,0.052230153,0.085170507,0.035956491,2013.666215,X70
510,59500,71500,27,0.215,0.786,0.025,0.008,0.023,0.031,0.002,1972,Grade B
2267,54626.98047,100197.3176,28.91687126,0.259045634,0.737198994,0.017116759,0.026217201,0.035987703,0.083609177,0.002601549,1966,X52
3162,60977.15412,89141.40945,30.80630216,0.20309555,1.198664823,0.018199243,0.013761033,0.226254575,0.021736254,0.047396131,1975.249755,X60
3153,66976.23571,91149.13506,35.96509614,0.142366805,0.943236558,0.018699606,0.010097667,0.112286928,0.077502662,0.007877212,1989.948217,X60
1965,55000,73000,30,0.27,0.86,0.021,0.016,0.01,0.022,0.002,1967,X52
2578,77127.69493,97971.48507,26.15085208,0.149594962,0.955923851,0.031385363,0.014482193,0.057697608,0.124611518,0.010307892,1962.26499,X56
211,34259.48856,54214.49397,33.41009461,0.044444294,0.36071153,0.022498744,0.024170148,0.01497566,0.043985961,0.000604666,1947.515413,Grade A
114,37572.3675,57021.57113,34.51222596,0.026111267,0.564072383,0.009930823,0.009036218,0.014625565,0.052719782,0.001139737,1946,Grade A
3801,79465.36227,97690.80457,32.75398505,0.086062762,1.615192177,0.002501683,0.013431234,0.065907219,0.143991427,0.033342165,2010.506994,X70
291,36027.40471,51212.48803,50.60618178,0.109841011,0.287137348,0.014597401,0.011412273,0.037860555,0.079502118,0.000871884,1954.239656,Grade A
340,35250.0221,60229.78576,26.92495294,0.019552074,0.558312375,0.012315837,0.005966694,0.020208423,0.007889061,0.000320657,1952.958588,Grade A
3317,77000,83500,34.4,0.071,1.21,0.006,0.017,0.004,0.006,0.039,1994,X65
2886,63500,80000,26.7,0.223,1.32,0.016,0.011,0.017,0.015,0.028,1970,X60
631,44879,74652,34.7,0.239,0.529,0.02,0.012,0.028,0.035,0.001,1940,Grade B
1711,50196.80295,82271.69398,25.11680875,0.255281023,0.60055124,0.023050058,0.027511562,0.012507392,0.362399006,0.000483117,1969,X46
2433,76971.75695,103657.121,25.74027068,0.211594504,1.081730192,0.017857164,0.014414695,0.061363681,0.0928461,0.024343466,1951.821426,X56
3049,68829.89312,82837.49805,26.38676185,0.210078867,1.187085094,0.020480309,0.010983264,0.292741591,0.24430524,0.017631769,1964,X60
1151,57500,70200,24.8,0.182,0.514,0.025,0.005,0.078,0.254,0.001,1944,X42
370,33002.27677,50671.74456,44.55561621,0.13913508,0.572146234,0.012498628,0.016785126,0.026906795,0.085915877,0.001699819,1940.976552,Grade A
3198,69516.05656,83487.21164,27.26474769,0.185226436,1.290299603,0.019285602,0.010365718,0.237655036,0.100645721,0.020194249,1980.853899,X60
2339,65993.19151,87134.57943,33.99023961,0.270682452,1.055162372,0.026283551,0.012575493,0.057116412,0.021278776,0.007816108,1951.779512,X52
3106,74497.37509,82041.24517,25.59125224,0.189985114,1.377902442,0.015620351,0.009971334,0.149844735,0.016317704,0.004886944,1976.125054,X60
1704,52903.98347,72021.91063,32.55735312,0.245776996,0.721164353,0.01839695,0.048149693,0.067796358,0.022413029,0.001560842,1950,X46
3123,67469.87533,110660.392,26.01603286,0.162392856,1.090984087,0.017079182,0.006952785,0.145214581,0.078006804,0.03671827,1980.012548,X60
1424,63746.09162,73721.99635,31.61272193,0.149227755,0.490067439,0.029519498,0.00490042,0.032111653,0.001280134,0.000478248,1993.051589,X42
3800,81155.66041,103283.6728,30.88462538,0.063212932,0.779765486,0.004701197,0.015807896,0.038416138,0.1365477,0.061941467,2009.212489,X70
1659,60098.32106,68526.28507,32.12365513,0.241908198,0.881875552,0.019842023,0.051757324,0.054251516,0.1500677,0.000452263,1959,X46
3941,78462.83704,95449.5294,29.6287609,0.060321028,1.534576554,0.000389317,0.01312389,0.070389129,0.066416844,0.059068854,2010.415803,X70
2377,60944.8057,72646.63868,33.90171891,0.230710386,1.157521201,0.024079174,0.02908281,0.010768753,0.08007052,0.019088531,1955.821907,X52
2825,76757.21554,105758.3176,22.98332242,0.173412447,0.759866081,0.024898203,0.006318413,0.085651492,0.102829877,0.01774931,1949.189717,X56
1427,53711.15091,78629.12744,49.24597135,0.210178889,0.585164973,0.01715853,0.001671881,0.041543589,0.154627295,0.009422136,1958.278345,X42
1214,49150.73889,71792.63521,27.30521654,0.220828259,0.615666481,0.023526949,0.007746676,0.031781927,0.219050417,2.31E-05,1977,X42
1531,50700,69700,30.8,0.239,0.617,0.019,0.009,0.039,0.102,0.001,1960,X46
1431,62849.30183,72595.76563,43.13327491,0.239616454,0.577615243,0.028794776,0.005205171,0.062740057,0.073662245,0.001274534,1951.467263,X42
139,33882.35488,59235.18614,15.50381833,0.114030362,0.116387545,0.029247446,0.020281015,0.027182551,0.09455984,0.000975572,1942.049726,Grade A
112,34352.60243,50712.62525,49.3032612,0.087053184,0.35082675,0.029335568,0.013894928,0.038483362,0.031603197,0.001535642,1941,Grade A
2359,55930.89872,93160.491,27.62003676,0.279604097,1.385072609,0.023142883,0.007911928,0.02142594,0.006660922,0.009674735,1959.939891,X52
3917,78910.7483,97598.30634,27.99258235,0.085448268,1.135316497,0.003289935,0.012534893,0.074826889,0.056521132,0.059359452,2014.593295,X70
2796,76694.03965,112388.6074,23.45548246,0.181139653,1.030638467,0.022115364,0.022215685,0.056081146,0.099043649,0.004439285,1953.028413,X56
2681,76948.05674,107589.3968,17.09162911,0.251997138,0.080114747,0.019159775,0.014164166,0.085760252,0.074797244,0.009431202,1957.636057,X56
2644,76799.66088,107449.6029,23.4885778,0.181878338,0.967728994,0.026655486,0.006909787,0.089485167,0.088888302,0.034183499,1950.872581,X56
3477,73637.52306,85693.27898,32.36336997,0.048144518,1.302120786,0.00773553,0.017260041,0.032029885,0.086456544,0.043365833,1979.483526,X65
81,37893.56115,55282.05959,43.42169047,0.096649329,0.548997887,0.020685628,0.005610213,0.027943488,0.045168222,4.98E-05,1952,Grade A
2108,56000,79500,32.75,0.253,0.89,0.021,0.011,0.055,0.146,0.001,1957,X52
2221,65947,77332,27.7,0.105,1.3,0.01,0.017,0.021,0.011,0.001,1970,X52
1728,60304.86684,72171.91039,29.48940788,0.236339456,0.793039361,0.023053276,0.053046788,0.015002383,0.10957531,0.000635339,1959,X46
2656,76405.4348,89904.04185,24.3490826,0.228539952,0.165122071,0.031568137,0.009819663,0.072989762,0.071200619,0.028168641,1951.854224,X56
